metric,mean,std,n_folds
train_accuracy,0.9199836056858528,0.020800007439716123,2
train_balanced_accuracy,0.625,0.0973264951633169,2
train_macro_f1,0.6687776112498841,0.13144094157460887,2
train_weighted_f1,0.895649615906285,0.03646286037950672,2
train_precision,1.0,0.0,2
train_recall,0.25,0.19465299032663388,2
validation_accuracy,0.9208931237275009,0.0287847312628316,2
validation_balanced_accuracy,0.6304503048252059,0.13331621023376916,2
validation_macro_f1,0.6677418581560792,0.17877955124614336,2
validation_weighted_f1,0.8958387224313741,0.04975921597881644,2
validation_precision,0.9642857142857143,0.05050762722761051,2
validation_recall,0.26123595505617975,0.26615817044662177,2
