metric,mean,std,n_folds
train_accuracy,0.9805157671346446,0.026707524511799707,2
train_balanced_accuracy,0.9136547017570319,0.11813818181568919,2
train_macro_f1,0.9406085408412086,0.08176331142530846,2
train_weighted_f1,0.9789017614108124,0.028989021885424085,2
validation_accuracy,0.9052958950993788,0.03902954137485397,2
validation_balanced_accuracy,0.7565296954792627,0.006149094443021968,2
validation_macro_f1,0.7584749457173705,0.04975845162276835,2
validation_weighted_f1,0.9064401884549289,0.029081126497499225,2
train_precision,0.9836065573770492,0.023183828891362238,2
train_recall,0.8286516853932584,0.23437809039329388,2
validation_precision,0.610860655737705,0.23212808677476418,2
validation_recall,0.5674157303370787,0.06356016010665595,2
