metric,mean,std,n_folds
train_accuracy,0.9670265585015511,0.04578414630640085,2
train_balanced_accuracy,0.8529259853922823,0.20751981610997655,2
train_macro_f1,0.8843344509446205,0.16135789235370399,2
train_weighted_f1,0.961258999547441,0.05394175103063309,2
validation_accuracy,0.8681346115438386,0.049216439633215835,2
validation_balanced_accuracy,0.6330773546085098,0.03368487999594611,2
validation_macro_f1,0.6374553989012337,0.010012168067060137,2
validation_weighted_f1,0.864387026183924,0.02626774261793242,2
train_precision,0.9655611342903614,0.040803276532651325,2
train_recall,0.7078651685393258,0.4131410406932637,2
validation_precision,0.460398332561371,0.2223832813458387,2
validation_recall,0.3342696629213483,0.13903785023330992,2
