metric,mean,std,n_folds
train_accuracy,0.8933173413336437,4.5211885752499326e-05,2
train_balanced_accuracy,0.5,0.0,2
train_macro_f1,0.471826524558886,1.2612634082954983e-05,2
train_weighted_f1,0.8429816335495153,6.51985033391672e-05,2
train_precision,0.0,0.0,2
train_recall,0.0,0.0,2
validation_accuracy,0.8933173413336437,4.5211885752499326e-05,2
validation_balanced_accuracy,0.5,0.0,2
validation_macro_f1,0.471826524558886,1.2612634082954983e-05,2
validation_weighted_f1,0.8429816335495153,6.51985033391672e-05,2
validation_precision,0.0,0.0,2
validation_recall,0.0,0.0,2
