metric,mean,std,n_folds
train_accuracy,0.7750764209456571,0.009653607404336803,2
train_balanced_accuracy,0.6041289162660028,0.01605379874928676,2
train_macro_f1,0.6104607132213393,0.02271113027304147,2
train_weighted_f1,0.7265649660341515,0.015023411323970587,2
train_precision,0.7739641281640073,0.007783198508042314,2
train_recall,0.9769475357710651,0.0011241761227131146,2
validation_accuracy,0.7541967667958048,0.014958528921036711,2
validation_balanced_accuracy,0.576999649329869,0.013247306935360099,2
validation_macro_f1,0.5735431393037322,0.016206384106294172,2
validation_weighted_f1,0.7008158247968623,0.01301634304226726,2
validation_precision,0.7622346418218413,0.0047395855619615165,2
validation_recall,0.9634340222575517,0.017986817963409753,2
