metric,mean,std,n_folds
train_accuracy,0.7460902318303657,0.007990175644038562,2
train_balanced_accuracy,0.5519327344939564,0.010965727555533879,2
train_macro_f1,0.531765827862692,0.01695867204474952,2
train_weighted_f1,0.6770212158109676,0.011667571997456392,2
validation_accuracy,0.7472476361260696,0.0030721208281623224,2
validation_balanced_accuracy,0.5527276470535748,0.007593199187394614,2
validation_macro_f1,0.5324539345074856,0.013677374530945682,2
validation_weighted_f1,0.677757931830775,0.008343265412189663,2
train_precision,0.7509269871233062,0.005196159856356321,2
train_recall,0.9753577106518283,0.003372528368139265,2
validation_precision,0.7512393532197776,0.0039006651173586425,2
validation_recall,0.9769475357710651,0.0033725283681393437,2
