metric,mean,std,n_folds
train_accuracy,0.9060324825986079,0.1328901375315785,2
train_balanced_accuracy,0.8532004612539831,0.20760589864473178,2
train_macro_f1,0.864307369402985,0.19189835850438092,2
train_weighted_f1,0.8988746179918274,0.1430128867361179,2
validation_accuracy,0.7176706465601836,0.025646315614061777,2
validation_balanced_accuracy,0.6254844968869204,0.03977912736147868,2
validation_macro_f1,0.6234633490562853,0.026533882580834355,2
validation_weighted_f1,0.7084532715200176,0.0006298164457033251,2
train_precision,0.9142053445850914,0.12133196526689005,2
train_recall,0.9682034976152623,0.0449670449085245,2
validation_precision,0.7971755049489015,0.03237657990626423,2
validation_recall,0.8267090620031796,0.10342420328960629,2
