metric,mean,std,n_folds
train_accuracy,0.9019748462843424,0.1320736301703807,2
train_balanced_accuracy,0.8355709111515726,0.2223481998217099,2
train_macro_f1,0.8488655840526913,0.20542197123707678,2
train_weighted_f1,0.8900009507256132,0.14899841169486144,2
validation_accuracy,0.6602789868612432,0.026513201194285754,2
validation_balanced_accuracy,0.5544655359727311,0.026687791048624468,2
validation_macro_f1,0.5509118569976285,0.024611410218761058,2
validation_weighted_f1,0.6513741654942876,0.001961294599771588,2
train_precision,0.9031187994714547,0.13028702993387414,2
train_recall,0.980127186009539,0.025856050822401555,2
validation_precision,0.7589594497016683,0.018596051099498006,2
validation_recall,0.7853736089030207,0.089934089817049,2
