metric,mean,std,n_folds
train_accuracy,0.7652122714428974,0.01248999618875397,2
train_balanced_accuracy,0.5845054655960993,0.030602366041796045,2
train_macro_f1,0.5803757346406715,0.04712771860021487,2
train_weighted_f1,0.7080613968442556,0.027650842148055185,2
train_precision,0.7652416500517767,0.013352854905700462,2
train_recall,0.9785373608903021,0.007869232858991724,2
validation_accuracy,0.744346731979578,0.0026690950759529594,2
validation_balanced_accuracy,0.5608775273632632,0.01989234205887177,2
validation_macro_f1,0.547374199195501,0.03774673423422923,2
validation_weighted_f1,0.6841380219193732,0.018329011914854206,2
validation_precision,0.7553823322658753,0.010179951722901199,2
validation_recall,0.9610492845786963,0.03035275531325401,2
