dataset,method,feature_family,programs_using_family,n_programs,proportion_programs
FEI,eoh,colour,0,10,0.0
FEI,eoh,gradient_edge,10,10,1.0
FEI,eoh,intensity_statistics,10,10,1.0
FEI,eoh,spatial_region_symmetry,10,10,1.0
FEI,eoh,local_texture_structure,9,10,0.9
FEI,eoh,frequency_transform,4,10,0.4
KSDD2,eoh,colour,1,10,0.1
KSDD2,eoh,gradient_edge,10,10,1.0
KSDD2,eoh,intensity_statistics,10,10,1.0
KSDD2,eoh,spatial_region_symmetry,10,10,1.0
KSDD2,eoh,local_texture_structure,7,10,0.7
KSDD2,eoh,frequency_transform,2,10,0.2
MVTEC,eoh,colour,0,10,0.0
MVTEC,eoh,gradient_edge,10,10,1.0
MVTEC,eoh,intensity_statistics,10,10,1.0
MVTEC,eoh,spatial_region_symmetry,10,10,1.0
MVTEC,eoh,local_texture_structure,1,10,0.1
MVTEC,eoh,frequency_transform,2,10,0.2
STL10,eoh,colour,10,10,1.0
STL10,eoh,gradient_edge,10,10,1.0
STL10,eoh,intensity_statistics,10,10,1.0
STL10,eoh,spatial_region_symmetry,10,10,1.0
STL10,eoh,local_texture_structure,2,10,0.2
STL10,eoh,frequency_transform,0,10,0.0
