dataset,method,operator,total_occurrences,programs_using_operator,proportion_programs
FEI,gp_modified,SobelY_R,9,6,0.6
FEI,gp_modified,FC4,6,6,0.6
FEI,gp_modified,HOG,6,6,0.6
FEI,gp_modified,Lap_R,8,5,0.5
FEI,gp_modified,RegionS,7,5,0.5
FEI,gp_modified,Mean,7,5,0.5
FEI,gp_modified,SIFT,5,5,0.5
FEI,gp_modified,Gau,5,5,0.5
FEI,gp_modified,Min_R,11,4,0.4
FEI,gp_modified,Med_R,9,4,0.4
FEI,gp_modified,LoG2_R,9,4,0.4
FEI,gp_modified,Mean_R,9,4,0.4
FEI,gp_modified,RegionR,5,4,0.4
FEI,gp_modified,Sobel_R,5,4,0.4
FEI,gp_modified,uLBP,4,4,0.4
FEI,gp_modified,Hist_R,4,4,0.4
FEI,gp_modified,RIF,4,4,0.4
FEI,gp_modified,Gau_R,6,3,0.3
FEI,gp_modified,Max_R,6,3,0.3
FEI,gp_modified,LoG1_R,4,3,0.3
FEI,gp_modified,Lap,4,3,0.3
FEI,gp_modified,Hist,3,3,0.3
FEI,gp_modified,SobelX_R,3,3,0.3
FEI,gp_modified,FC3,3,3,0.3
FEI,gp_modified,RIF_R,3,3,0.3
FEI,gp_modified,SobelX,3,2,0.2
FEI,gp_modified,HOG_R,2,2,0.2
FEI,gp_modified,GauD_R,2,2,0.2
FEI,gp_modified,SIFT_R,2,2,0.2
FEI,gp_modified,Sobel,2,2,0.2
FEI,gp_modified,LoG2,2,2,0.2
FEI,gp_modified,Min,3,1,0.1
FEI,gp_modified,DIF_R,1,1,0.1
FEI,gp_modified,GauD,1,1,0.1
FEI,gp_modified,FC2,1,1,0.1
FEI,gp_modified,DIF,1,1,0.1
FEI,gp_modified,Med,1,1,0.1
FEI,gp_modified,SobelY,1,1,0.1
FEI,gp_original,FC4,7,7,0.7
FEI,gp_original,SIFT,11,6,0.6
FEI,gp_original,Min_R,7,5,0.5
FEI,gp_original,HOG_R,5,5,0.5
FEI,gp_original,HOG,5,5,0.5
FEI,gp_original,Mean_R,7,4,0.4
FEI,gp_original,RegionS,6,4,0.4
FEI,gp_original,GauD_R,4,4,0.4
FEI,gp_original,RegionR,4,4,0.4
FEI,gp_original,DIF,4,4,0.4
FEI,gp_original,Med_R,8,3,0.3
FEI,gp_original,Gau_R,7,3,0.3
FEI,gp_original,Max_R,5,3,0.3
FEI,gp_original,SobelY_R,4,3,0.3
FEI,gp_original,GauD,4,3,0.3
FEI,gp_original,Gau,4,3,0.3
FEI,gp_original,Sobel,3,3,0.3
FEI,gp_original,LoG2_R,5,2,0.2
FEI,gp_original,Lap_R,4,2,0.2
FEI,gp_original,Min,4,2,0.2
FEI,gp_original,Hist,3,2,0.2
FEI,gp_original,SIFT_R,3,2,0.2
FEI,gp_original,Max,3,2,0.2
FEI,gp_original,Sobel_R,2,2,0.2
FEI,gp_original,SobelX_R,2,2,0.2
FEI,gp_original,LoG1,2,2,0.2
FEI,gp_original,FC2,2,2,0.2
FEI,gp_original,SobelX,2,2,0.2
FEI,gp_original,Med,2,2,0.2
FEI,gp_original,uLBP,2,2,0.2
FEI,gp_original,LoG1_R,2,1,0.1
FEI,gp_original,uLBP_R,1,1,0.1
FEI,gp_original,Mean,1,1,0.1
FEI,gp_original,DIF_R,1,1,0.1
FEI,gp_original,FC3,1,1,0.1
FEI,gp_original,Lap,1,1,0.1
KSDD2,gp_modified,Hist,17,10,1.0
KSDD2,gp_modified,FC4,8,8,0.8
KSDD2,gp_modified,RegionR,6,5,0.5
