dataset,method,experiment_seed,fold,internal_seed,validation_macro_f1,program,program_length_chars,function_call_count,max_parenthesis_depth,unique_operator_count,top_feature_combiner,image_terminal_count,family_gradient_edge,family_texture_local_descriptor,family_intensity_statistics,family_smoothing_filtering,family_spatial_region,op__FC4,op__Hist,op__HOG_R,op__GauD_R,op__RegionR,op__HOG,op__SIFT_R,op__Med_R,op__Sobel_R,op__Min_R,op__RegionS,op__uLBP_R,op__SobelX_R,op__SobelY_R,op__LoG1_R,op__Mean,op__SIFT,op__Gau_R,op__LoG2_R,op__Max_R,op__Mean_R,op__Lap_R,op__DIF_R,op__GauD,op__LoG1,op__Gau,op__FC2,op__DIF,op__Min,op__SobelX,op__Med,op__Sobel,op__Max,op__uLBP,op__FC3,op__Lap,op__RIF_R,op__Hist_R,op__RIF,op__SobelY,op__LoG2
FEI,gp_modified,42,1,42,1.0,"FC3(RIF_R(SobelY_R(RegionR(Image, 38, 38, 16, 45))), uLBP(Image), HOG(Gau(Image, 1)))",85,7,4,7,FC3,3,1,1,1,1,1,,,,,1.0,1.0,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,1.0,1.0,,1.0,,,,
FEI,gp_modified,42,2,43,0.965714285714286,"FC4(SIFT(Image), RIF_R(LoG1_R(Min_R(Min_R(RegionS(Mean(Image), 56, 23, 43))))), Hist(Image), HOG(Image))",104,10,7,9,FC4,4,1,1,1,0,1,1.0,1.0,,,,1.0,,,,2.0,1.0,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,
FEI,gp_modified,42,3,44,0.965714285714286,"FC4(Hist_R(Max_R(Sobel_R(Min_R(Min_R(Max_R(LoG2_R(Med_R(Mean_R(Mean_R(Mean_R(Lap_R(LoG2_R(LoG2_R(Med_R(SobelX_R(Gau_R(Lap_R(Min_R(Gau_R(RegionS(Image, 20, 41, 1), 1))), 1))))))))))))))))), RIF(Mean(Image)), uLBP(Mean(Image)), SIFT(Gau(Image, 3)))",246,28,22,17,FC4,4,1,1,1,1,1,1.0,,,,,,,2.0,1.0,3.0,1.0,,1.0,,,2.0,1.0,2.0,3.0,2.0,3.0,2.0,,,,1.0,,,,,,,,1.0,,,,1.0,1.0,,
FEI,gp_modified,42,4,45,1.0,"FC4(HOG(Image), Hist(Sobel(Gau(Lap(Image), 1))), SIFT_R(RegionS(SobelX(Lap(Image)), 18, 11, 23)), HOG_R(Sobel_R(LoG1_R(SobelY_R(LoG1_R(Lap_R(Sobel_R(LoG2_R(RegionS(SobelY(Image), 31, 17, 17))))))))))",199,20,11,16,FC4,4,1,1,1,1,1,1.0,1.0,1.0,,,1.0,1.0,,2.0,,2.0,,,1.0,2.0,,,,1.0,,,1.0,,,,1.0,,,,1.0,,1.0,,,,2.0,,,,1.0,
FEI,gp_modified,42,5,46,0.8833333333333332,"FC4(DIF(Med(LoG2(SobelX(Image)))), Hist_R(RegionS(Image, 41, 3, 15)), uLBP(SobelX(Gau(Lap(Image), 1))), SIFT_R(Med_R(Max_R(Mean_R(Lap_R(RegionS(Image, 41, 3, 15)))))))",167,17,7,15,FC4,4,1,1,1,1,1,1.0,,,,,,1.0,1.0,,,2.0,,,,,,,,,1.0,1.0,1.0,,,,1.0,,1.0,,2.0,1.0,,,1.0,,1.0,,1.0,,,1.0
FEI,gp_modified,43,1,43,1.0,"FC4(SIFT(Image), RIF_R(LoG2_R(SobelX_R(SobelY_R(LoG1_R(Min_R(RegionR(Sobel(Image), 46, 49, 49, 54))))))), Hist(Mean(Image)), HOG(Image))",136,13,9,13,FC4,4,1,1,1,0,1,1.0,1.0,,,1.0,1.0,,,,1.0,,,1.0,1.0,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,1.0,,,,,1.0,,,,
FEI,gp_modified,43,2,44,1.0,"FC4(Hist_R(Max_R(Min_R(SobelY_R(Min_R(SobelY_R(Med_R(GauD_R(Gau_R(Med_R(LoG2_R(SobelY_R(Max_R(Sobel_R(Min_R(Min_R(Max_R(LoG2_R(Med_R(Mean_R(Mean_R(Mean_R(Lap_R(LoG2_R(LoG2_R(Med_R(SobelX_R(Gau_R(Lap_R(Min_R(Gau_R(RegionS(Image, 20, 41, 1), 1))), 1))))))))))))))))))), 1), 1, 0, 2)))))))), RIF(Mean(Image)), uLBP(Mean(Image)), SIFT(Gau(Image, 1)))",346,39,33,19,FC4,4,1,1,1,1,1,1.0,,,1.0,,,,4.0,1.0,5.0,1.0,,1.0,3.0,,2.0,1.0,3.0,4.0,3.0,3.0,2.0,,,,1.0,,,,,,,,1.0,,,,1.0,1.0,,
FEI,gp_modified,43,3,45,1.0,"FC3(Hist_R(SobelY_R(Mean_R(RegionR(Min(Image), 61, 60, 22, 60)))), HOG(GauD(Min(Lap(Mean(Image))), 3, 0, 0)), DIF_R(Sobel_R(Mean_R(RegionR(Min(Image), 61, 5, 22, 60)))))",169,16,6,12,FC3,3,1,0,1,0,1,,,,,2.0,1.0,,,1.0,,,,,1.0,,1.0,,,,,2.0,,1.0,1.0,,,,,3.0,,,,,,1.0,1.0,,1.0,,,
FEI,gp_modified,43,4,46,1.0,"FC3(HOG(Image), HOG_R(GauD_R(Gau_R(Lap_R(Med_R(Med_R(SobelY_R(SobelY_R(Lap_R(RegionR(LoG2(Image), 32, 59, 56, 19))))))), 3), 2, 1, 0)), RIF(Image))",147,14,12,11,FC3,3,1,0,1,1,1,,,1.0,1.0,1.0,1.0,,2.0,,,,,,2.0,,,,1.0,,,,2.0,,,,,,,,,,,,,1.0,,,,1.0,,1.0
FEI,gp_modified,43,5,47,1.0,"FC2(SIFT(Image), RIF(Image))",28,3,2,3,FC2,2,0,1,1,0,0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,
FEI,gp_original,42,1,42,1.0,"FC4(Hist(Image), HOG_R(GauD_R(RegionR(Image, 38, 31, 7, 56), 1, 0, 1)), HOG(Image), Hist(Image))",96,7,4,6,FC4,4,1,0,1,0,1,1.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FEI,gp_original,42,2,43,0.965714285714286,"FC4(HOG(Image), Hist(Image), SIFT_R(Med_R(Sobel_R(Med_R(Min_R(Med_R(RegionS(Image, 17, 33, 54))))))), uLBP_R(SobelX_R(SobelY_R(LoG1_R(LoG1_R(RegionS(Mean(Image), 42, 28, 43)))))))",179,17,8,13,FC4,4,1,1,1,0,1,1.0,1.0,,,,1.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
FEI,gp_original,42,3,44,0.96,"FC4(SIFT(Image), HOG_R(SobelY_R(Med_R(GauD_R(Gau_R(Med_R(LoG2_R(SobelY_R(Max_R(Sobel_R(Min_R(Min_R(Max_R(LoG2_R(Med_R(Mean_R(Mean_R(Mean_R(Lap_R(LoG2_R(LoG2_R(Med_R(SobelX_R(Gau_R(Lap_R(Min_R(Gau_R(RegionS(Image, 20, 41, 1), 1))), 1))))))))))))))))))), 1), 1, 0, 2)))), DIF_R(Lap_R(RegionS(GauD(Image, 1, 1, 0), 30, 18, 58))), HOG(LoG1(Gau(Gau(Image, 2), 2))))",360,38,29,20,FC4,4,1,1,1,1,1,1.0,,1.0,1.0,,1.0,,4.0,1.0,3.0,2.0,,1.0,2.0,,,1.0,3.0,4.0,2.0,3.0,3.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,
FEI,gp_original,42,4,45,1.0,"FC2(HOG(Image), DIF(Gau(Image, 1)))",35,4,3,4,FC2,2,1,0,0,1,0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,
FEI,gp_original,42,5,46,1.0,"FC4(HOG_R(Gau_R(Mean_R(Min_R(GauD_R(Max_R(Max_R(Gau_R(RegionR(Image, 22, 31, 34, 37), 3))), 2, 2, 0))), 1)), SIFT(Min(Min(SobelX(Image)))), SIFT(Med(GauD(Sobel(Image), 3, 0, 0))), DIF(Max(Gau(GauD(Image, 3, 1, 0), 2))))",219,22,10,17,FC4,4,1,1,1,1,1,1.0,,1.0,1.0,1.0,,,,,1.0,,,,,,,2.0,2.0,,2.0,1.0,,,2.0,,1.0,,1.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,
