dataset,method,fold,experiment_seed,seed,n_train,n_validation,epochs,batch_size,learning_rate,model_training_time,device,initial_training_loss,final_training_loss,training_loss_change,train_accuracy,train_balanced_accuracy,train_macro_f1,train_weighted_f1,validation_accuracy,validation_balanced_accuracy,validation_macro_f1,validation_weighted_f1,n_features,feature_extraction_time,classifier_training_time,extractor_train_time,extractor_train_fitness,program,train_precision,train_recall,validation_precision,validation_recall
FEI,cnn,1,42,42,112,28,50.0,64.0,0.001,15.502341600134969,cpu,2.3065262862614224,0.0441003484385354,-2.262425937822887,0.9910714285714286,0.990909090909091,0.9908902691511386,0.991052942916297,0.7857142857142857,0.8,0.7733333333333334,0.7761904761904761,,,,,,,,,,
FEI,cnn,2,42,43,112,28,50.0,64.0,0.001,13.066958200186493,cpu,2.307882070541382,0.0662810270275388,-2.241601043513843,0.9910714285714286,0.990909090909091,0.9908902691511386,0.991052942916297,0.9285714285714286,0.9333333333333332,0.935,0.9303571428571428,,,,,,,,,,
FEI,cnn,3,42,44,112,28,50.0,64.0,0.001,13.877007700037211,cpu,2.3065766266414096,0.0170888592089925,-2.289487767432417,1.0,1.0,1.0,1.0,0.8928571428571429,0.9,0.8823809523809525,0.8858843537414965,,,,,,,,,,
FEI,cnn,4,42,45,112,28,50.0,64.0,0.001,11.416364799952134,cpu,2.3061466557638988,0.0613248305661337,-2.244821825197765,0.9910714285714286,0.9916666666666666,0.9913043478260868,0.9910714285714286,1.0,1.0,1.0,1.0,,,,,,,,,,
FEI,cnn,5,42,46,112,28,50.0,64.0,0.001,10.647035999922082,cpu,2.307793072291783,0.0232883884704538,-2.284504683821329,1.0,1.0,1.0,1.0,0.8928571428571429,0.9,0.8871428571428572,0.8790816326530612,,,,,,,,,,
FEI,cnn,1,43,43,112,28,50.0,64.0,0.001,5.651077299844474,cpu,2.307661839893886,0.0697575679847172,-2.237904271909169,0.9732142857142856,0.9727272727272728,0.9732380952380952,0.9737159863945576,0.9285714285714286,0.9333333333333332,0.9323809523809524,0.9275510204081632,,,,,,,,,,
FEI,cnn,2,43,44,112,28,50.0,64.0,0.001,5.772247600136325,cpu,2.3073525428771973,0.0204337018408945,-2.286918841036303,1.0,1.0,1.0,1.0,0.8571428571428571,0.8666666666666666,0.8480952380952381,0.8443877551020409,,,,,,,,,,
FEI,cnn,3,43,45,112,28,50.0,64.0,0.001,5.769943899940699,cpu,2.308022737503052,0.044884480535984,-2.263138256967068,0.9910714285714286,0.990909090909091,0.9912380952380954,0.9910374149659864,0.9642857142857144,0.95,0.9523809523809524,0.9608843537414966,,,,,,,,,,
FEI,cnn,4,43,46,112,28,50.0,64.0,0.001,5.62663449998945,cpu,2.3082687173570906,0.0694334794368062,-2.2388352379202843,0.9910714285714286,0.9916666666666666,0.9913043478260868,0.9910714285714286,0.8214285714285714,0.8166666666666667,0.8233333333333335,0.8226190476190476,,,,,,,,,,
FEI,cnn,5,43,47,112,28,50.0,64.0,0.001,5.677928699878976,cpu,2.310915333884103,0.0397784946752446,-2.2711368392088587,1.0,1.0,1.0,1.0,0.8214285714285714,0.8333333333333333,0.8230952380952381,0.8104591836734694,,,,,,,,,,
