"dataset","method","seed","validation_accuracy_mean","validation_accuracy_std","validation_balanced_accuracy_mean","validation_balanced_accuracy_std","validation_macro_f1_mean","validation_macro_f1_std"
"fei","cnn","42","0.9","0.0774267263881386","0.906666666666667","0.0722649446289293","0.895571428571429","0.083137115931162"
"fei","cnn","43","0.878571428571428","0.0648782218735177","0.88","0.0593950989373515","0.875857142857143","0.0619760578452013"
"fei","cnn","44","0.878571428571429","0.0479157423749955","0.883333333333333","0.0471404520791031","0.876571428571429","0.0492317970550522"
"fei","eoh","42","0.892857142857143","0.0252538136138053","0.893333333333333","0.0252762514801718","0.886","0.0240837776246005"
"fei","eoh","43","0.842857142857143","0.0782460796435952","0.843333333333333","0.0693221144769514","0.831714285714286","0.0809771320705256"
"fei","gp_modified","42","0.964285714285714","0.0437408882639853","0.963333333333333","0.0477260702109212","0.962952380952381","0.047695652668212"
"fei","gp_modified","43","1","0","1","0","1","0"
"fei","gp_original","42","0.985714285714286","0.0195615199108988","0.986666666666667","0.0182574185835056","0.985142857142857","0.0204440500799981"
"fei","gp_original","43","1","0","1","0","1","0"
"fei","mlp","42","0.978571428571429","0.031943828249997","0.976666666666667","0.0365148371670111","0.976761904761905","0.0359994960912075"
"fei","mlp","43","0.971428571428572","0.0298807152333598","0.973333333333333","0.0278886675511359","0.971428571428572","0.0291372543633873"
"fei","mlp","44","0.964285714285714","0.0357142857142857","0.966666666666667","0.0333333333333334","0.964571428571429","0.0357770876399966"
"ksdd2","cnn","42","0.949060948567632","0.0127370518745843","0.793507313352005","0.0487273124941341","0.841635882625329","0.0443654771146548"
"ksdd2","cnn","43","0.952053165034249","0.00350550082058292","0.812419235847976","0.0185321381250272","0.855957696732634","0.0100000718240217"
"ksdd2","cnn","44","0.949050624388405","0.00857992162049446","0.80317833350724","0.0409769618245925","0.845414275979238","0.0322991181718119"
"ksdd2","eoh","42","0.941566941080358","0.00769030206947258","0.747247427414456","0.0284409873278796","0.806647319419903","0.0290530322437013"
"ksdd2","eoh","43","0.934370988158615","0.00909287008962617","0.71222238266988","0.0423148970984385","0.771709892433295","0.0426720273142533"
"ksdd2","gp_modified","42","0.941867240032678","0.00718427958629497","0.764785372361804","0.0330918311233408","0.815457621831247","0.0286843918278432"
"ksdd2","gp_modified","43","0.944563197443195","0.00406538697087","0.763714332129501","0.0244699351471941","0.820624069857937","0.0183387673326409"
"ksdd2","gp_original","42","0.940962752156856","0.0154299299652684","0.769184868899222","0.0343986256328984","0.817148829232981","0.0417115278115878"
"ksdd2","gp_original","43","0.942165743475568","0.00620838860068945","0.76243101674361","0.0338200197736511","0.814853619360823","0.0262002070368203"
"ksdd2","mlp","42","0.893317562775498","0.000619885654234991","0.5","0","0.471826541171001","0.000173001313010297"
"ksdd2","mlp","43","0.893317562775498","0.000619885654234991","0.5","0","0.471826541171001","0.000173001313010297"
"ksdd2","mlp","44","0.893317562775498","0.000619885654234991","0.501240946516621","0.00277484076760536","0.474557379394406","0.0061700715869904"
"mvtec","cnn","42","0.749565217391304","0.0243029261637734","0.600649395532663","0.0327305462393235","0.60580097192667","0.042525823900661"
"mvtec","cnn","43","0.768695652173913","0.0153923687505528","0.62118388881966","0.0327412552868234","0.631747318550118","0.0419160260956888"
"mvtec","cnn","44","0.761739130434783","0.0293742053568887","0.625057515251714","0.0397754115730338","0.635907522588854","0.0464521675090157"
"mvtec","eoh","42","0.736811594202899","0.0165750474846328","0.534826379570669","0.0298676463159986","0.500415173480514","0.0522075861347262"
"mvtec","eoh","43","0.728695652173913","0.00835064364689152","0.514973013134246","0.0170305372483926","0.462513972590089","0.0373338785978549"
"mvtec","gp_modified","42","0.750724637681159","0.0401111666756465","0.637227845598139","0.0392969614168011","0.648788291568687","0.0460841324413357"
"mvtec","gp_modified","43","0.776811594202899","0.0208010146295759","0.670627993413584","0.045760184821434","0.683195980022396","0.0424228593027656"
"mvtec","gp_original","42","0.753623188405797","0.0437191395043431","0.645026780264416","0.0769503546615134","0.64966184066351","0.0820349707573057"
"mvtec","gp_original","43","0.760579710144928","0.014864790034734","0.635277152439799","0.0194802413511412","0.647888086163679","0.0206521913455872"
"mvtec","mlp","42","0.733913043478261","0.0331374204916587","0.565755364874674","0.0300847874378275","0.561405095358317","0.0390362133932547"
"mvtec","mlp","43","0.749565217391304","0.0138403900131169","0.560465171593479","0.0287257612454696","0.542554504758315","0.0536920494382435"
"mvtec","mlp","44","0.751884057971014","0.00883939169969676","0.565271896041679","0.0212367969783258","0.552083852260889","0.0343686704010601"
"stl10","cnn","42","0.630692307692308","0.00858907383535105","0.630692307692308","0.00858907383535108","0.630350604660884","0.00895064722909678"
"stl10","cnn","43","0.626538461538461","0.0123347059314035","0.626538461538461","0.0123347059314035","0.626952791222848","0.0139090553200922"
"stl10","cnn","44","0.623230769230769","0.0190580707095865","0.623230769230769","0.0190580707095865","0.620780692336698","0.0185112131361828"
"stl10","eoh","42","0.361307692307692","0.00738621777486633","0.361307692307692","0.00738621777486633","0.33058925072294","0.00877129231103928"
"stl10","eoh","43","0.363923076923077","0.0126672246321622","0.363923076923077","0.0126672246321622","0.330718242551065","0.0110100731799387"
