dataset,metric,method_a,method_b,n_pairs,mean_difference,sd_difference,cohens_dz,correction_factor,corrected_se,t_statistic,df,p_value,p_value_holm,significant_holm_05
FEI,validation_macro_f1,gp_original,gp_modified,10,0.01109523809523808,0.03713746399592169,0.29876132889570817,0.35,0.02197081999418622,0.5049988165291069,9,0.6256931149506312,1.0,False
FEI,validation_macro_f1,gp_original,eoh,10,0.13371428571428573,0.069978868782581,1.9107808977267953,0.35,0.04140005708488083,3.229809211135551,9,0.010325804779774232,0.10325804779774232,False
FEI,validation_macro_f1,gp_original,cnn,10,0.1068571428571428,0.07402663068716843,1.4434959671299092,0.35,0.04379474532193388,2.4399535166065953,9,0.0373674853831964,0.2615723976823748,False
FEI,validation_macro_f1,gp_original,mlp,10,0.018476190476190514,0.04044648770099744,0.45680580753455335,0.35,0.02392846481852582,0.7721427436450472,9,0.45982419134791336,1.0,False
FEI,validation_macro_f1,gp_modified,eoh,10,0.12261904761904766,0.07814127885324988,1.5691968370434208,0.35,0.04622900400492612,2.6524267666675554,9,0.026371094488936844,0.21096875591149475,False
FEI,validation_macro_f1,gp_modified,cnn,10,0.09576190476190474,0.08164833119790242,1.1728580775251032,0.35,0.04830380415237322,1.9824919888260988,9,0.07874304922271042,0.3937152461135521,False
FEI,validation_macro_f1,gp_modified,mlp,10,0.0073809523809524324,0.036005689480707044,0.20499405753380653,0.35,0.021301253161337345,0.3465031998375178,9,0.7369278821013128,1.0,False
FEI,validation_macro_f1,eoh,cnn,10,-0.026857142857142902,0.08107948316357881,-0.33124462329092924,0.35,0.04796726911682143,-0.559905605460547,9,0.5892057755983662,1.0,False
FEI,validation_macro_f1,eoh,mlp,10,-0.11523809523809522,0.06758587754879945,-1.7050617587215486,0.35,0.03998434437894987,-2.8820803999168083,9,0.018116502263888022,0.1630485203749922,False
FEI,validation_macro_f1,cnn,mlp,10,-0.08838095238095231,0.06391346268999944,-1.3828221576669686,0.35,0.03781171444881973,-2.337396060170212,9,0.04420841487601062,0.2652504892560637,False
KSDD2,validation_macro_f1,gp_original,gp_modified,10,-0.002039621547690151,0.026290770995637234,-0.07757937369081386,0.35,0.01555382987693912,-0.13113307550792974,9,0.8985545406728032,0.8985545406728032,False
KSDD2,validation_macro_f1,gp_original,eoh,10,0.026822618370302885,0.03546133396800712,0.7563905631554075,0.35,0.020979208096987056,1.278533405374583,9,0.2330455377559508,0.5887424436870268,False
KSDD2,validation_macro_f1,gp_original,cnn,10,-0.032795565382079485,0.031288383866048625,-1.0481706412988085,0.35,0.018510457523579046,-1.7717317543504119,9,0.1102050556680105,0.440820222672042,False
KSDD2,validation_macro_f1,gp_original,mlp,10,0.34417468312590077,0.03279693718927129,10.494110506102047,0.35,0.019402929705303582,17.738284287646742,9,2.6094618852063278e-08,2.0875695081650622e-07,True
KSDD2,validation_macro_f1,gp_modified,eoh,10,0.028862239917993037,0.03495193888252675,0.8257693518805594,0.35,0.020677845900304987,1.3958049623325288,9,0.19624748122900892,0.5887424436870268,False
