metric,mean,std,n_folds
train_accuracy,0.9588700897950249,0.0020791301474257233,5
train_balanced_accuracy,0.8183606820270208,0.005276218584270028,5
train_macro_f1,0.87294843821015,0.006097318312854281,5
train_weighted_f1,0.955137547986048,0.002193249776686841,5
train_precision,0.9623294376658376,0.021811168162776413,5
train_recall,0.6397405485544848,0.010090998885692629,5
validation_accuracy,0.9490609485676323,0.012737051874584258,5
validation_balanced_accuracy,0.7935073133520054,0.048727312494134103,5
validation_macro_f1,0.8416358826253288,0.04436547711465475,5
validation_weighted_f1,0.9442206968014715,0.014938205761935202,5
validation_precision,0.8875224174239762,0.04926225370574513,5
validation_recall,0.5957355242566511,0.09473369303640156,5
