metric,mean,std,n_folds
train_accuracy,0.9428379662177617,0.001725142392938394,5
train_balanced_accuracy,0.7503403369046726,0.01239791277336029,5
train_macro_f1,0.8110837428259492,0.009408995610052333,5
train_weighted_f1,0.9351866646106795,0.0026821518408974105,5
validation_accuracy,0.9415669410803581,0.0076903020694725835,5
validation_balanced_accuracy,0.7472474274144563,0.02844098732787962,5
validation_macro_f1,0.8066473194199032,0.029053032243701274,5
validation_weighted_f1,0.9336842620461354,0.009507336517091862,5
train_precision,0.9256539560735613,0.025083387338744295,5
train_recall,0.5056288608846058,0.02639673355778466,5
validation_precision,0.9142774814726036,0.05811045896099777,5
validation_recall,0.5001956181533647,0.05603324847400019,5
