metric,mean,std,n_folds
train_accuracy,0.9499552498305557,0.0028189423812550103,5
train_balanced_accuracy,0.7756486163324886,0.014226631566531424,5
train_macro_f1,0.8374529564629031,0.011962700160216652,5
train_weighted_f1,0.9438291198121206,0.003706416616350109,5
validation_accuracy,0.9418672400326782,0.007184279586294973,5
validation_balanced_accuracy,0.7647853723618038,0.0330918311233408,5
validation_macro_f1,0.8154576218312466,0.028684391827843197,5
validation_weighted_f1,0.9355774026735671,0.009172151912185188,5
train_precision,0.9600406500007057,0.00989497853036305,5
train_recall,0.5540647393130713,0.028769474881594273,5
validation_precision,0.8694999391060773,0.05800814897687083,5
validation_recall,0.5396322378716746,0.06817560667231183,5
