metric,mean,std,n_folds
train_accuracy,0.9532504844777673,0.007524337033176063,5
train_balanced_accuracy,0.7895251561140892,0.0355157348145486,5
train_macro_f1,0.8493565566562751,0.030269805881305276,5
train_weighted_f1,0.9477684372257233,0.009578801508257661,5
validation_accuracy,0.9421657434755677,0.006208388600689446,5
validation_balanced_accuracy,0.7624310167436102,0.03382001977365114,5
validation_macro_f1,0.8148536193608227,0.02620020703682026,5
validation_weighted_f1,0.9356061716535606,0.00823612261599146,5
train_precision,0.9669816906214926,0.0060910983659157635,5
train_recall,0.5813985668396343,0.07105057326999459,5
validation_precision,0.8785590468517299,0.04139627272118635,5
validation_recall,0.5339201877934272,0.06998150239094554,5
