metric,mean,std,n_folds
train_accuracy,0.8933922985926639,0.00018331127393443074,5
train_balanced_accuracy,0.5009687389614977,0.002166166170361397,5
train_macro_f1,0.47390971700193474,0.004642900510708638,5
train_weighted_f1,0.8434489355197687,0.0009874503739372427,5
train_precision,0.12,0.2683281572999748,5
train_recall,0.002105263157894737,0.004707511531578504,5
validation_accuracy,0.8933175627754985,0.0006198856542349907,5
validation_balanced_accuracy,0.5,0.0,5
validation_macro_f1,0.4718265411710011,0.00017300131301029714,5
validation_weighted_f1,0.8429820432089947,0.0008937686841799107,5
validation_precision,0.0,0.0,5
validation_recall,0.0,0.0,5
