metric,mean,std,n_folds
train_accuracy,0.8002898550724638,0.02134054895300555,5
train_balanced_accuracy,0.6778340395691844,0.0515804364211897,5
train_macro_f1,0.6953060813784429,0.05493034158985149,5
train_weighted_f1,0.7770033966287098,0.033796821733637794,5
train_precision,0.8133544033648438,0.028880553454105097,5
train_recall,0.9449556879181712,0.03171939724582563,5
validation_accuracy,0.7617391304347827,0.02937420535688868,5
validation_balanced_accuracy,0.6250575152517144,0.039775411573033784,5
validation_macro_f1,0.6359075225888539,0.046452167509015735,5
validation_weighted_f1,0.733884027867841,0.03125423230999396,5
validation_precision,0.7875472311611106,0.018922167991222084,5
validation_recall,0.9228672611142731,0.04193892086107284,5
