metric,mean,std,n_folds
train_accuracy,0.7410144927536232,0.008303348701815186,5
train_balanced_accuracy,0.538002201860729,0.021810863056192425,5
train_macro_f1,0.5044744334497813,0.039914233754903404,5
train_weighted_f1,0.6614183369502347,0.02300432139321502,5
validation_accuracy,0.7368115942028985,0.016575047484632798,5
validation_balanced_accuracy,0.5348263795706695,0.02986764631599862,5
validation_macro_f1,0.5004151734805137,0.052207586134726244,5
validation_weighted_f1,0.6578912602671261,0.03175213115968616,5
train_precision,0.745058508252739,0.009375958484661617,5
train_recall,0.9807226156467352,0.00815419460454011,5
validation_precision,0.7438523573837026,0.013426926304653766,5
validation_recall,0.9753493960665276,0.014752061104493041,5
