metric,mean,std,n_folds
train_accuracy,0.8297101449275364,0.02558391803465178,5
train_balanced_accuracy,0.7324364773843346,0.050148857625297305,5
train_macro_f1,0.7546388937245799,0.04570870174730882,5
train_weighted_f1,0.8168110925350444,0.03145718211525842,5
validation_accuracy,0.7768115942028986,0.020801014629575863,5
validation_balanced_accuracy,0.6706279934135841,0.04576018482143399,5
validation_macro_f1,0.6831959800223958,0.042422859302765584,5
validation_weighted_f1,0.762040089734686,0.027733388599118523,5
train_precision,0.8422897573139455,0.029656133573942783,5
train_recall,0.9445535328248976,0.007326989536362578,5
validation_precision,0.8133926603826991,0.02732701416400096,5
validation_recall,0.902226016568646,0.014481706327720917,5
