metric,mean,std,n_folds
train_accuracy,0.8424637681159421,0.041808517205242646,5
train_balanced_accuracy,0.750663350462807,0.07929131312020134,5
train_macro_f1,0.7712270200009431,0.07612339505969794,5
train_weighted_f1,0.8296002730983243,0.052286631095099914,5
validation_accuracy,0.7536231884057971,0.043719139504343064,5
validation_balanced_accuracy,0.645026780264416,0.07695035466151338,5
validation_macro_f1,0.64966184066351,0.08203497075730572,5
validation_weighted_f1,0.7366420837854977,0.0538501784715095,5
train_precision,0.8527015999062633,0.04539476680469665,5
train_recall,0.950915954126285,0.006329925843956299,5
validation_precision,0.8032179963822215,0.04183370383110915,5
validation_recall,0.8815658002908998,0.05400034180500994,5
