metric,mean,std,n_folds
train_accuracy,0.7659420289855072,0.01114388152118095,5
train_balanced_accuracy,0.5816778593992626,0.027766869047420602,5
train_macro_f1,0.5742175457369436,0.047079710209776436,5
train_weighted_f1,0.7051677446611413,0.027453027683799536,5
train_precision,0.7638629815128835,0.012213942472439388,5
train_recall,0.9835045338692769,0.009621797968902977,5
validation_accuracy,0.7495652173913043,0.013840390013116915,5
validation_balanced_accuracy,0.5604651715934793,0.028725761245469605,5
validation_macro_f1,0.5425545047583155,0.053692049438243454,5
validation_weighted_f1,0.6834592078385328,0.03176670679631901,5
validation_precision,0.7549250537633045,0.013549783937739916,5
validation_recall,0.9729779295516348,0.019369291080364046,5
