metric,mean,std,n_folds
train_accuracy,0.934673651133018,0.008448272651757288,2
train_balanced_accuracy,0.7160824522835174,0.025731264402150497,2
train_macro_f1,0.7764461871870836,0.031157277392978713,2
train_weighted_f1,0.9243938550357225,0.010213651857106482,2
validation_accuracy,0.9334737123422892,0.002514593645783252,2
validation_balanced_accuracy,0.7166479079590278,0.010166649439797818,2
validation_macro_f1,0.7747735368762231,0.010767735318788699,2
validation_weighted_f1,0.9234945275077184,0.003328493397213793,2
train_precision,0.8954395241242564,0.0684206429383414,2
train_recall,0.4382022471910112,0.04767012007999197,2
validation_precision,0.8720355731225297,0.011878275968548733,2
validation_recall,0.4410112359550562,0.019862550033329995,2
