metric,mean,std,n_folds
train_accuracy,0.9484593870739239,0.012692093927893297,2
train_balanced_accuracy,0.7732683763137355,0.052590493551281765,2
train_macro_f1,0.8321805032242264,0.04948753029802532,2
train_weighted_f1,0.9420656833156857,0.015885569219624914,2
validation_accuracy,0.9433629249985273,0.0029425825642827147,2
validation_balanced_accuracy,0.761759738482677,0.0034077319116639928,2
validation_macro_f1,0.8179004787967195,0.007472981645125034,2
validation_weighted_f1,0.9368012498653329,0.0028728615684876844,2
train_precision,0.9395979429640018,0.036231371303434144,2
train_recall,0.550561797752809,0.10328526017331591,2
validation_precision,0.8963502337288745,0.03674107511019641,2
validation_recall,0.5308988764044944,0.003972510006666007,2
