metric,mean,std,n_folds
train_accuracy,0.945458731876093,0.005956284948850208,2
train_balanced_accuracy,0.7579864982823568,0.02955749576104836,2
train_macro_f1,0.8197765412731817,0.026281290862879975,2
train_weighted_f1,0.9381637677453255,0.008089539786937805,2
validation_accuracy,0.9316785636799129,0.016075365378583478,2
validation_balanced_accuracy,0.7280089632129554,0.08072173807492941,2
validation_macro_f1,0.7746092918087033,0.0749023646465923,2
validation_weighted_f1,0.922603238587164,0.022569130242163275,2
train_precision,0.9439203354297694,0.0007412020767154323,2
train_recall,0.5196629213483146,0.05958765009998999,2
validation_precision,0.8048888888888889,0.03834090102433721,2
validation_recall,0.4691011235955056,0.1628729102733059,2
