dataset,method,train_macro_f1_mean,train_macro_f1_std,validation_macro_f1_mean,validation_macro_f1_std,n_observations,generalisation_gap,method_label
FEI,gp_original,1.0,0.0,0.9925714285714285,0.015718614122497306,10,0.007428571428571451,GP Original
FEI,gp_modified,1.0,0.0,0.9814761904761905,0.037313709614162846,10,0.018523809523809498,GP Modified
FEI,eoh,0.9525068120539517,0.019919677774104257,0.8588571428571429,0.06317228997918638,10,0.09364966919680884,EOH
FEI,cnn,0.9928865424430642,0.00819322798369635,0.8857142857142858,0.06990698567747326,10,0.10717225672877839,CNN
FEI,mlp,0.9963561076604555,0.00470424478214294,0.9740952380952381,0.031003376794116227,10,0.022260869565217334,MLP
KSDD2,gp_original,0.8479251938492143,0.025078124819617888,0.8160012242969017,0.03286061400570864,10,0.03192396955231258,GP Original
KSDD2,gp_modified,0.8340715823663389,0.013433612982001911,0.8180408458445919,0.022859837051735627,10,0.016030736521747024,GP Modified
KSDD2,eoh,0.7902032110236188,0.034292359982035656,0.7891786059265989,0.039032012362730635,10,0.0010246050970198484,EOH
KSDD2,cnn,0.8770669716487289,0.013624332724477177,0.8487967896789812,0.031244508642313932,10,0.028270181969747732,CNN
KSDD2,mlp,0.4728681226217482,0.003284353095838573,0.4718265411710011,0.00016310720211168926,10,0.00104158145074712,MLP
MVTEC,gp_original,0.7547377405523511,0.06245807405534329,0.6487749634135943,0.05640415986498319,10,0.10596277713875679,GP Original
MVTEC,gp_modified,0.7547125928867426,0.05668536896489061,0.6659921357955415,0.04552594813094066,10,0.08872045709120113,GP Modified
MVTEC,eoh,0.490561747637036,0.04067550870228961,0.4814645730353012,0.04722176374069458,10,0.009097174601734814,EOH
MVTEC,cnn,0.6754816924824729,0.046546204403016246,0.6187741452383941,0.042090679921250276,10,0.05670754724407878,CNN
MVTEC,mlp,0.5897855948862929,0.03828480938909959,0.5519798000583165,0.04535662444667716,10,0.03780579482797641,MLP
STL10,gp_original,0.7526992954637513,0.050867789615144626,0.5533352991580124,0.04693535294120786,10,0.19936399630573887,GP Original
STL10,gp_modified,0.7257414427484976,0.051753989000554265,0.5493339610220345,0.03754392565530231,10,0.17640748172646314,GP Modified
STL10,eoh,0.3330674528737792,0.009937079113784638,0.3306537466370023,0.009384802834384944,10,0.0024137062367768913,EOH
STL10,cnn,0.9823623113335211,0.010849633857410628,0.6286516979418659,0.011171225254931355,10,0.3537106133916552,CNN
STL10,mlp,0.8269796140664727,0.021091801503387915,0.42847963273432443,0.012225948964431771,10,0.39849998133214826,MLP
