dataset,method,validation_accuracy_mean,validation_accuracy_std,validation_balanced_accuracy_mean,validation_balanced_accuracy_std,validation_macro_f1_mean,validation_macro_f1_std
FEI,cnn,0.8892857142857142,0.06828395428428569,0.8933333333333333,0.06392511050507788,0.8857142857142858,0.06990698567747326
FEI,eoh,0.8678571428571429,0.060819237021165755,0.8683333333333334,0.055804995572656314,0.8588571428571429,0.06317228997918638
FEI,gp_modified,0.9821428571428571,0.034708046993126775,0.9816666666666667,0.03722636792833553,0.9814761904761905,0.037313709614162846
FEI,gp_original,0.9928571428571429,0.015058465048420804,0.9933333333333334,0.0140545673785262,0.9925714285714285,0.015718614122497306
FEI,mlp,0.975,0.029402592941020145,0.975,0.030681558381075738,0.9740952380952381,0.031003376794116227
KSDD2,cnn,0.9505570568009409,0.008947175248172345,0.8029632745999905,0.03615601461687068,0.8487967896789812,0.031244508642313932
KSDD2,eoh,0.9379689646194868,0.008798601376709198,0.7297349050421679,0.03867908637457023,0.7891786059265989,0.039032012362730635
KSDD2,gp_modified,0.9432152187379363,0.005683655352423499,0.7642498522456523,0.02744338793217455,0.8180408458445919,0.022859837051735627
KSDD2,gp_original,0.9415642478162116,0.011106180868143611,0.7658079428214161,0.03235613118790359,0.8160012242969017,0.03286061400570864
KSDD2,mlp,0.8933175627754985,0.0005844337995597601,0.5,0.0,0.4718265411710011,0.00016310720211168926
MVTEC,cnn,0.7591304347826087,0.02166708404964234,0.6109166421761614,0.03270623004857041,0.6187741452383941,0.042090679921250276
MVTEC,eoh,0.7327536231884058,0.013091698307983977,0.5248996963524577,0.02519667610101057,0.4814645730353012,0.04722176374069458
MVTEC,gp_modified,0.763768115942029,0.03311205698201697,0.6539279195058617,0.04389622541501878,0.6659921357955415,0.04552594813094066
MVTEC,gp_original,0.7571014492753624,0.031002300190425377,0.6401519663521075,0.05316743536468535,0.6487749634135943,0.05640415986498319
MVTEC,mlp,0.7417391304347827,0.025322490005559917,0.5631102682340764,0.02787077429778956,0.5519798000583165,0.04535662444667716
STL10,cnn,0.6286153846153846,0.010256730764222904,0.6286153846153846,0.010256730764222908,0.6286516979418659,0.011171225254931355
STL10,eoh,0.3626153846153846,0.009872294359657951,0.36261538461538456,0.009872294359657934,0.3306537466370023,0.009384802834384944
STL10,gp_modified,0.5543461538461538,0.03905021716816692,0.5543461538461539,0.03905021716816696,0.5493339610220345,0.03754392565530231
STL10,gp_original,0.5585384615384615,0.04704929081233275,0.5585384615384615,0.047049290812332736,0.5533352991580124,0.04693535294120786
STL10,mlp,0.43161538461538457,0.011481053769613208,0.43161538461538457,0.011481053769613229,0.42847963273432443,0.012225948964431771
