dataset,method,train_macro_f1_mean,train_macro_f1_std,validation_macro_f1_mean,validation_macro_f1_std,generalisation_gap_mean,generalisation_gap_std
FEI,cnn,0.9928865424430642,0.00819322798369635,0.8857142857142858,0.06990698567747326,0.10717225672877836,0.07303439270900886
FEI,eoh,0.9525068120539517,0.019919677774104257,0.8588571428571429,0.06317228997918638,0.09364966919680877,0.056367050156154584
FEI,gp_modified,1.0,0.0,0.9814761904761905,0.037313709614162846,0.018523809523809488,0.03731370961416286
FEI,gp_original,1.0,0.0,0.9925714285714285,0.015718614122497306,0.007428571428571407,0.015718614122497296
FEI,mlp,0.9963561076604555,0.00470424478214294,0.9740952380952381,0.031003376794116227,0.02226086956521738,0.029807422090113972
KSDD2,cnn,0.8770669716487289,0.013624332724477177,0.8487967896789812,0.031244508642313932,0.02827018196974763,0.0328102384464351
KSDD2,eoh,0.7902032110236188,0.034292359982035656,0.7891786059265989,0.039032012362730635,0.0010246050970198594,0.028640416958274163
KSDD2,gp_modified,0.8340715823663389,0.013433612982001911,0.8180408458445919,0.022859837051735627,0.01603073652174707,0.02848418009656191
KSDD2,gp_original,0.8479251938492143,0.025078124819617888,0.8160012242969017,0.03286061400570864,0.0319239695523124,0.04105985269354222
KSDD2,mlp,0.4728681226217482,0.003284353095838573,0.4718265411710011,0.00016310720211168926,0.0010415814507471533,0.0032514259116055437
MVTEC,cnn,0.6754816924824729,0.046546204403016246,0.6187741452383941,0.042090679921250276,0.05670754724407866,0.04167193944609195
MVTEC,eoh,0.490561747637036,0.04067550870228961,0.4814645730353012,0.04722176374069458,0.00909717460173486,0.02185868977888924
MVTEC,gp_modified,0.7547125928867426,0.05668536896489061,0.6659921357955415,0.04552594813094066,0.08872045709120115,0.07287785750002476
MVTEC,gp_original,0.7547377405523511,0.06245807405534329,0.6487749634135943,0.05640415986498319,0.10596277713875679,0.059177397288669685
MVTEC,mlp,0.5897855948862929,0.03828480938909959,0.5519798000583165,0.04535662444667716,0.03780579482797645,0.04009511299105848
STL10,cnn,0.9823623113335211,0.010849633857410628,0.6286516979418659,0.011171225254931355,0.3537106133916553,0.01024610451028357
STL10,eoh,0.3330674528737792,0.009937079113784638,0.3306537466370023,0.009384802834384944,0.0024137062367768636,0.007792476555071847
STL10,gp_modified,0.7257414427484976,0.051753989000554265,0.5493339610220345,0.03754392565530231,0.1764074817264632,0.061038556671867444
STL10,gp_original,0.7526992954637513,0.050867789615144626,0.5533352991580124,0.04693535294120786,0.1993639963057389,0.09042673677803091
STL10,mlp,0.8269796140664727,0.021091801503387915,0.42847963273432443,0.012225948964431771,0.39849998133214837,0.022903060178887852
