dataset,method,experiment_seed,validation_accuracy_mean,validation_accuracy_std,validation_balanced_accuracy_mean,validation_balanced_accuracy_std,validation_macro_f1_mean,validation_macro_f1_std,n_folds
FEI,cnn,42,0.9,0.07742672638813856,0.9066666666666666,0.07226494462892928,0.8955714285714287,0.08313711593116198,5
FEI,cnn,43,0.8785714285714287,0.06487822187351772,0.8799999999999999,0.05939509893735152,0.8758571428571429,0.06197605784520135,5
FEI,cnn,44,0.8785714285714284,0.047915742374995525,0.8833333333333332,0.047140452079103154,0.8765714285714286,0.04923179705505213,5
FEI,mlp,42,0.9785714285714286,0.03194382824999698,0.9766666666666666,0.03651483716701107,0.9767619047619048,0.03599949609120752,5
FEI,mlp,43,0.9714285714285715,0.029880715233359823,0.9733333333333333,0.02788866755113589,0.9714285714285715,0.029137254363387273,5
FEI,mlp,44,0.9642857142857142,0.035714285714285705,0.9666666666666666,0.03333333333333337,0.9645714285714287,0.03577708763999653,5
KSDD2,cnn,42,0.9490609485676323,0.012737051874584283,0.7935073133520054,0.0487273124941341,0.8416358826253287,0.04436547711465471,5
KSDD2,cnn,43,0.9520531650342493,0.003505500820582962,0.8124192358479757,0.018532138125027155,0.8559576967326337,0.010000071824021718,5
KSDD2,cnn,44,0.9490506243884045,0.008579921620494415,0.8031783335072396,0.04097696182459249,0.8454142759792385,0.03229911817181189,5
KSDD2,mlp,42,0.8933175627754985,0.0006198856542349946,0.5,0.0,0.4718265411710011,0.00017300131301030877,5
KSDD2,mlp,43,0.8933175627754985,0.0006198856542349946,0.5,0.0,0.4718265411710011,0.00017300131301030877,5
KSDD2,mlp,44,0.8933175627754985,0.0006198856542349946,0.5012409465166207,0.0027748407676053913,0.4745573793944057,0.006170071586990427,5
MVTEC,cnn,42,0.7495652173913043,0.024302926163773417,0.6006493955326627,0.032730546239323526,0.6058009719266703,0.04252582390066104,5
MVTEC,cnn,43,0.768695652173913,0.015392368750552799,0.6211838888196601,0.03274125528682337,0.6317473185501182,0.0419160260956888,5
MVTEC,cnn,44,0.7617391304347827,0.0293742053568887,0.6250575152517144,0.03977541157303378,0.6359075225888539,0.046452167509015714,5
MVTEC,mlp,42,0.7339130434782609,0.033137420491658645,0.5657553648746735,0.030084787437827522,0.5614050953583174,0.039036213393254734,5
MVTEC,mlp,43,0.7495652173913043,0.01384039001311688,0.5604651715934792,0.028725761245469605,0.5425545047583156,0.05369204943824346,5
MVTEC,mlp,44,0.7518840579710144,0.008839391699696728,0.5652718960416789,0.021236796978325805,0.5520838522608889,0.03436867040106012,5
STL10,cnn,42,0.6306923076923077,0.008589073835351041,0.6306923076923077,0.008589073835351076,0.6303506046608841,0.008950647229096784,5
STL10,cnn,43,0.6265384615384615,0.012334705931403522,0.6265384615384615,0.012334705931403482,0.6269527912228476,0.013909055320092192,5
STL10,cnn,44,0.6232307692307693,0.019058070709586483,0.6232307692307693,0.019058070709586483,0.6207806923366981,0.0185112131361828,5
STL10,mlp,42,0.43199999999999994,0.00607765331542406,0.43199999999999994,0.006077653315424076,0.4285191648524296,0.007432785736664809,5
STL10,mlp,43,0.4312307692307692,0.016102023100498734,0.4312307692307692,0.01610202310049876,0.4284401006162192,0.01676502020290852,5
STL10,mlp,44,0.4413076923076923,0.003119892275488229,0.44130769230769235,0.003119892275488177,0.4382235830940807,0.0026775385758464124,5
