dataset,metric,method_a,method_b,n_pairs,mean_difference,sd_difference,cohens_dz,correction_factor,corrected_se,t_statistic,df,p_value,p_value_holm,significant_holm_05
FEI,validation_accuracy,gp_original,gp_modified,10,0.01071428571428571,0.033881546358946905,0.31622776601683794,0.35,0.020044593143431818,0.5345224838248488,9,0.6059307686316775,1.0,False
FEI,validation_accuracy,gp_original,eoh,10,0.125,0.06786758482732962,1.841821840544762,0.35,0.0401510046524763,3.1132471299766262,9,0.012453475603993663,0.12453475603993663,False
FEI,validation_accuracy,gp_original,cnn,10,0.10357142857142858,0.07231591689755926,1.4322079151419047,0.35,0.04278267339539622,2.4208732262760777,9,0.03855537719774722,0.2698876403842306,False
FEI,validation_accuracy,gp_original,mlp,10,0.01785714285714284,0.03857583749052291,0.4629100498862761,0.35,0.02282177322938188,0.7824607964359521,9,0.45403783653187507,1.0,False
FEI,validation_accuracy,gp_modified,eoh,10,0.11428571428571428,0.07299861769883756,1.5655873753282616,0.35,0.04318656463623107,2.6463256628158627,9,0.026636139845305457,0.21308911876244366,False
FEI,validation_accuracy,gp_modified,cnn,10,0.09285714285714287,0.07932538689979851,1.1705854391159451,0.35,0.046929531772445306,1.9786505287841798,9,0.07923153305576934,0.3961576652788467,False
FEI,validation_accuracy,gp_modified,mlp,10,0.007142857142857129,0.0368855556781658,0.19364916731037085,0.35,0.021821789023599193,0.3273268353539886,9,0.7509058687700362,1.0,False
FEI,validation_accuracy,eoh,cnn,10,-0.02142857142857142,0.07566785039081288,-0.28319254898739854,0.35,0.04476570399276944,-0.4786827753682275,9,0.6435792514488252,1.0,False
FEI,validation_accuracy,eoh,mlp,10,-0.10714285714285716,0.06299407883487124,-1.700840128541522,0.35,0.03726779962499651,-2.874944542499729,9,0.018328392205591532,0.1649555298503238,False
FEI,validation_accuracy,cnn,mlp,10,-0.08571428571428574,0.0611677741841197,-1.401298099490741,0.35,0.03618734322278731,-2.3686261018551678,9,0.04200342846626753,0.2698876403842306,False
KSDD2,validation_balanced_accuracy,gp_original,gp_modified,10,0.001558090575763782,0.01742265604163535,0.08942899245903578,0.35,0.010307382317581727,0.15116258694567705,9,0.8831814290395235,0.8831814290395235,False
KSDD2,validation_balanced_accuracy,gp_original,eoh,10,0.036073037779248175,0.029682508641632046,1.215296126576475,0.35,0.0175604089286439,2.0542253842623874,9,0.0701326106850447,0.2835047962386765,False
KSDD2,validation_balanced_accuracy,gp_original,cnn,10,-0.03715533177857444,0.0362974089629712,-1.023635924439633,0.35,0.02147383673447327,-1.7302605136662281,9,0.11763693879005614,0.2835047962386765,False
KSDD2,validation_balanced_accuracy,gp_original,mlp,10,0.26580794282141607,0.032356131187903585,8.215071860037117,0.35,0.019142145358007536,13.886005870821755,9,2.200896429956584e-07,1.7607171439652673e-06,True
KSDD2,validation_balanced_accuracy,gp_modified,eoh,10,0.03451494720348439,0.029882585017719215,1.1550187904767397,0.35,0.017678775709008412,1.9523380901256033,9,0.08265574086507771,0.2835047962386765,False
KSDD2,validation_balanced_accuracy,gp_modified,cnn,10,-0.03871342235433822,0.0299471507037132,-1.2927247315564507,0.35,0.01771697328396751,-2.1851036141354276,9,0.05670095924773531,0.2835047962386765,False
KSDD2,validation_balanced_accuracy,gp_modified,mlp,10,0.26424985224565234,0.02744338793217453,9.628907804631758,0.35,0.016235727252529773,16.2758247989463,9,5.5412915301770937e-08,5.541291530177093e-07,True
KSDD2,validation_balanced_accuracy,eoh,cnn,10,-0.07322836955782261,0.03988465165681684,-1.836003738678933,0.35,0.02359607813228647,-3.1034127428839273,9,0.012652592340426956,0.07591555404256174,False
KSDD2,validation_balanced_accuracy,eoh,mlp,10,0.22973490504216793,0.038679086374570223,5.939512190577707,0.35,0.02288285609293587,10.039607997757281,9,3.4623848740179487e-06,2.423669411812564e-05,True
KSDD2,validation_balanced_accuracy,cnn,mlp,10,0.30296327459999056,0.036156014616870666,8.379332672872238,0.35,0.021390186711232273,14.16365732052729,9,1.85480137386155e-07,1.669321236475395e-06,True
MVTEC,validation_balanced_accuracy,gp_original,gp_modified,10,-0.013775953153754239,0.05174632649392191,-0.26622089116552755,0.35,0.030613539602036346,-0.44999543773232586,9,0.6633567488644141,0.7698727627261037,False
MVTEC,validation_balanced_accuracy,gp_original,eoh,10,0.11525226999964973,0.05562047701170324,2.072119409824537,0.35,0.03290551795752945,3.5025210710375,9,0.006696908363875541,0.05291497705339152,False
MVTEC,validation_balanced_accuracy,gp_original,cnn,10,0.029235324175946042,0.05411245385453912,0.5402697917661277,0.35,0.03201335942627498,0.913222626424865,9,0.38493638136305186,0.7698727627261037,False
MVTEC,validation_balanced_accuracy,gp_original,mlp,10,0.0770416981180311,0.05420344007611037,1.421343331896502,0.35,0.0320671876008728,2.40250872876467,9,0.039734110879776366,0.2384046652786582,False
MVTEC,validation_balanced_accuracy,gp_modified,eoh,10,0.12902822315340395,0.05615765659282436,2.297606969053811,0.35,0.03322331768350591,3.883664611179439,9,0.003710611850502356,0.033395506654521206,True
MVTEC,validation_balanced_accuracy,gp_modified,cnn,10,0.04301127732970028,0.041292484736551005,1.0416248284431247,0.35,0.024428963414385888,1.7606673111791358,9,0.11214428973309298,0.47832316012869586,False
MVTEC,validation_balanced_accuracy,gp_modified,mlp,10,0.09081765127178534,0.043729907767395194,2.0767857950868707,0.35,0.025870962325949758,3.5104087017548276,9,0.00661437213167394,0.05291497705339152,False
MVTEC,validation_balanced_accuracy,eoh,cnn,10,-0.08601694582370369,0.035839156227707614,-2.400082894730739,0.35,0.02120273076020897,-4.056880540365637,9,0.0028552813671303703,0.028552813671303703,True
MVTEC,validation_balanced_accuracy,eoh,mlp,10,-0.038210571881618624,0.035868035765392936,-1.0653098522469377,0.35,0.02121981612511351,-1.8007023084614135,9,0.1052735842606337,0.47832316012869586,False
MVTEC,validation_balanced_accuracy,cnn,mlp,10,0.047806373942085055,0.04342213109303,1.1009679336019231,0.35,0.025688879189857603,1.8609754668066565,9,0.09566463202573917,0.47832316012869586,False
STL10,validation_accuracy,gp_original,gp_modified,10,0.004192307692307684,0.06877400363941558,0.060957737959943345,0.35,0.04068724925339659,0.10303738319094424,9,0.9201926777428061,0.9201926777428061,False
STL10,validation_accuracy,gp_original,eoh,10,0.19592307692307692,0.05099896223048521,3.8417071319533966,0.35,0.030171392941083442,6.4936702559826,9,0.00011227449847987783,0.0006736469908792671,True
STL10,validation_accuracy,gp_original,cnn,10,-0.07007692307692306,0.051674078491083845,-1.3561329998175886,0.35,0.030570797107140384,-2.2922831495471634,9,0.04759654978927178,0.09519309957854356,False
STL10,validation_accuracy,gp_original,mlp,10,0.12692307692307692,0.04686699745408921,2.7081546465060073,0.35,0.027726889613271837,4.577616843914708,9,0.0013323377448295262,0.005329350979318105,True
STL10,validation_accuracy,gp_modified,eoh,10,0.19173076923076926,0.03631680405005727,5.27939542715535,0.35,0.021485311022733405,8.923807015309238,9,9.152526053959628e-06,6.40676823777174e-05,True
STL10,validation_accuracy,gp_modified,cnn,10,-0.07426923076923077,0.044247098435051126,-1.6785107588071149,0.35,0.02617693645124246,-2.837201018826848,9,0.019491983642807235,0.058475950928421706,False
STL10,validation_accuracy,gp_modified,mlp,10,0.12273076923076927,0.03350765561596884,3.662768014491563,0.35,0.019823396396869756,6.191207943062131,9,0.00016055230299682262,0.0008027615149841131,True
STL10,validation_accuracy,eoh,cnn,10,-0.26599999999999996,0.01456265792762982,-18.265896330320068,0.35,0.008615384615384613,-30.875000000000004,9,1.9218163150868497e-10,1.9218163150868495e-09,True
STL10,validation_accuracy,eoh,mlp,10,-0.06899999999999999,0.011409824249954898,-6.047420055595751,0.35,0.006750143057387791,-10.222005580234622,9,2.9796533848462837e-06,2.383722707877027e-05,True
STL10,validation_accuracy,cnn,mlp,10,0.197,0.019524929697297723,10.089665010535995,0.35,0.011551104184862436,17.05464662487988,9,3.682422481778388e-08,3.314180233600549e-07,True
